               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.021148,           0.0058473,                   0,             0.98765,             0.94711,             0.97769,             0.70453,            0.022569,           0.0043197,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.021041,           0.0058437,                   0,             0.98501,             0.95813,             0.97777,             0.70014,            0.022961,           0.0042982,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.021037,            0.005801,                   0,             0.98729,             0.95216,             0.97742,             0.69918,            0.022824,           0.0043367,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.020879,           0.0058098,                   0,             0.98317,             0.95831,             0.97806,              0.6999,            0.022967,           0.0043969,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.020947,           0.0057974,                   0,               0.981,             0.95718,             0.97905,              0.7003,            0.022917,            0.004335,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.020941,           0.0058696,                   0,             0.98236,             0.96406,             0.97757,              0.7032,            0.022804,           0.0042506,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.02071,           0.0057676,                   0,             0.98574,             0.95809,             0.97799,             0.70036,            0.022718,           0.0043309,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020788,           0.0059224,                   0,             0.98245,             0.95991,             0.97801,             0.70375,            0.022637,            0.004255,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.020733,           0.0058383,                   0,             0.97864,             0.96014,             0.97679,             0.70219,            0.022788,            0.004272,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.02078,           0.0058557,                   0,             0.98263,             0.95374,              0.9761,              0.7016,            0.022875,           0.0043465,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.020805,           0.0057829,                   0,             0.98453,             0.95308,             0.97739,             0.70469,            0.022661,           0.0043036,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.020503,           0.0057866,                   0,             0.97995,             0.95991,             0.97792,             0.70416,            0.022893,           0.0043446,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.020279,           0.0057841,                   0,             0.98415,             0.95535,             0.97747,             0.70221,            0.022816,           0.0043241,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.02037,           0.0057426,                   0,             0.97639,             0.96082,             0.97548,             0.70198,            0.022491,           0.0043171,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.020392,           0.0056904,                   0,             0.98175,             0.95603,             0.97695,             0.70414,            0.022562,            0.004333,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.020404,           0.0057088,                   0,             0.98371,             0.96283,             0.97817,              0.7069,            0.022405,           0.0042902,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.020568,           0.0057808,                   0,             0.98268,             0.95628,             0.97764,             0.69843,            0.022587,           0.0043177,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.020446,           0.0057138,                   0,             0.98363,             0.95792,             0.97827,             0.70378,              0.0225,           0.0042631,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.020156,           0.0057036,                   0,             0.97788,             0.96082,             0.97785,             0.70358,            0.022352,           0.0042825,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.020265,           0.0057402,                   0,             0.97863,               0.959,             0.97688,             0.70626,            0.022539,            0.004269,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.020106,           0.0056934,                   0,             0.98784,              0.9508,             0.97663,             0.70251,            0.022451,           0.0042631,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.020132,           0.0057084,                   0,             0.98325,             0.95672,             0.97744,             0.70649,            0.022487,           0.0043154,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.020069,           0.0057253,                   0,             0.98275,             0.95854,              0.9779,             0.70329,            0.022497,           0.0043553,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.020089,           0.0055952,                   0,             0.98136,             0.95262,             0.97634,             0.70396,            0.022621,           0.0043038,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.019961,           0.0056418,                   0,             0.97852,             0.95763,             0.97581,               0.703,            0.022676,            0.004298,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.020034,           0.0056745,                   0,             0.98487,             0.94929,             0.97396,             0.70161,            0.022725,            0.004341,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.019995,           0.0056668,                   0,             0.97988,             0.95427,             0.97505,             0.70393,            0.022736,           0.0043069,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.019937,            0.005745,                   0,             0.97466,             0.95809,             0.97636,             0.70268,            0.022667,           0.0042545,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.019778,           0.0056161,                   0,             0.97762,             0.95541,             0.97641,             0.69978,            0.022665,           0.0042936,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.019902,           0.0056752,                   0,             0.98058,              0.9508,             0.97616,             0.70013,            0.022753,           0.0043185,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.019838,           0.0056199,                   0,              0.9785,             0.95388,               0.976,             0.70248,            0.022639,           0.0043382,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.019705,           0.0056882,                   0,             0.98097,             0.95262,             0.97642,             0.70111,            0.022731,           0.0043174,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.019617,            0.005674,                   0,             0.97398,             0.95854,              0.9754,             0.70206,            0.022701,           0.0043123,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.019597,           0.0057472,                   0,             0.98264,             0.95262,             0.97651,             0.70325,            0.022736,           0.0043211,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.01944,           0.0056785,                   0,             0.98624,             0.94672,             0.97581,             0.70366,            0.022766,           0.0043306,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.019404,           0.0055457,                   0,             0.98162,             0.95308,             0.97535,             0.70132,            0.022773,            0.004338,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.019487,           0.0056829,                   0,             0.98132,             0.95535,              0.9754,             0.70128,            0.022674,           0.0043579,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.019483,           0.0055796,                   0,              0.9746,             0.95581,             0.97532,             0.70276,            0.022647,           0.0043523,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.019417,           0.0056183,                   0,             0.98305,             0.95148,              0.9762,             0.70396,            0.022735,           0.0043293,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.019294,           0.0055516,                   0,             0.97834,             0.95718,             0.97602,             0.70422,            0.022741,           0.0043147,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.019337,           0.0054775,                   0,             0.98039,             0.95662,             0.97609,              0.7023,            0.022768,           0.0043095,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.019302,           0.0055302,                   0,             0.97859,             0.95854,             0.97697,             0.70359,            0.022721,           0.0043077,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.019315,           0.0055713,                   0,             0.97974,             0.95763,             0.97694,              0.7038,            0.022766,           0.0043046,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.019225,           0.0055401,                   0,              0.9813,             0.95623,             0.97702,             0.70367,            0.022791,           0.0043357,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.018985,           0.0054691,                   0,             0.98147,             0.95626,             0.97634,             0.70178,            0.022781,           0.0043272,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.019142,           0.0055003,                   0,             0.98043,              0.9584,              0.9772,             0.70248,            0.022698,           0.0043539,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.019152,           0.0054773,                   0,             0.98195,             0.95626,             0.97672,             0.70327,            0.022686,           0.0043573,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.019166,           0.0054648,                   0,             0.98287,             0.95626,             0.97733,             0.70356,            0.022681,           0.0043549,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.018931,           0.0054853,                   0,             0.98404,             0.95521,             0.97606,             0.70249,            0.022721,           0.0043551,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.018898,           0.0054521,                   0,             0.98259,             0.95444,             0.97582,             0.70306,            0.022742,           0.0043488,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.018945,           0.0054035,                   0,             0.98087,             0.95796,             0.97651,             0.70352,            0.022745,           0.0043289,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.01902,            0.005487,                   0,             0.97935,             0.96128,             0.97675,             0.70398,            0.022752,           0.0043112,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.019034,           0.0054834,                   0,              0.9781,               0.959,               0.976,             0.70376,            0.022747,           0.0042933,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.018714,           0.0054537,                   0,              0.9759,             0.95941,             0.97624,             0.70464,            0.022727,           0.0042977,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.018852,            0.005501,                   0,             0.97681,             0.95968,             0.97694,             0.70604,            0.022718,           0.0043049,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.018737,           0.0054199,                   0,             0.97634,              0.9587,             0.97642,             0.70515,            0.022744,           0.0043081,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.018699,           0.0054432,                   0,             0.97634,             0.95886,             0.97673,             0.70392,            0.022792,           0.0043188,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.018754,           0.0053942,                   0,             0.97963,             0.95718,             0.97666,             0.70311,            0.022807,           0.0043371,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.018668,           0.0054091,                   0,             0.97848,             0.95809,             0.97655,             0.70352,            0.022877,           0.0043525,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.018635,           0.0054192,                   0,             0.97728,             0.96025,              0.9764,             0.70168,            0.022908,           0.0043633,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.018492,           0.0053844,                   0,             0.97818,             0.95974,             0.97658,             0.70119,            0.022921,           0.0043638,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.018344,           0.0054124,                   0,             0.97812,             0.95709,             0.97548,             0.69999,            0.022928,           0.0043598,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018239,           0.0053262,                   0,             0.97679,             0.95873,             0.97639,             0.69991,            0.022935,           0.0043654,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.018433,            0.005367,                   0,             0.97662,             0.95854,             0.97559,             0.70068,            0.022951,           0.0043679,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.018494,           0.0053768,                   0,              0.9786,             0.95838,              0.9769,             0.70021,             0.02297,           0.0043753,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.018392,           0.0053231,                   0,              0.9777,             0.95897,             0.97711,             0.70021,            0.022977,           0.0043807,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018168,           0.0053436,                   0,              0.9767,               0.959,             0.97691,             0.69975,            0.022985,           0.0043875,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018172,            0.005243,                   0,              0.9858,             0.94876,             0.97553,             0.70035,            0.022974,           0.0043895,                   0,            0.006073,            0.006073,            0.006073
                 121,              0.0183,           0.0052789,                   0,             0.98601,             0.94943,             0.97553,             0.70106,            0.022966,           0.0043932,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018327,           0.0053494,                   0,             0.98583,             0.94852,              0.9741,             0.70002,            0.022979,           0.0043953,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.018223,           0.0052842,                   0,             0.98534,             0.94943,             0.97601,              0.6998,            0.022963,           0.0043973,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.017966,           0.0053628,                   0,             0.98581,             0.94928,             0.97584,             0.69994,            0.022939,           0.0043941,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.018101,           0.0052917,                   0,             0.98428,             0.94897,             0.97565,             0.69978,            0.022931,           0.0043956,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.017885,           0.0053952,                   0,             0.98464,             0.94943,             0.97619,             0.69983,            0.022946,           0.0043945,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.017832,           0.0052477,                   0,             0.98536,             0.95024,             0.97653,             0.69923,            0.022959,           0.0043963,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.017944,            0.005193,                   0,             0.98493,              0.9508,             0.97652,             0.69872,            0.022956,           0.0043971,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.017891,           0.0053266,                   0,             0.98344,              0.9508,             0.97621,             0.69779,            0.022946,           0.0044018,                   0,            0.005776,            0.005776,            0.005776
                 130,             0.01797,           0.0051961,                   0,             0.98414,             0.95034,             0.97636,             0.69849,            0.022939,           0.0044025,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.017778,           0.0052827,                   0,             0.98413,              0.9508,             0.97664,             0.69894,            0.022922,           0.0044023,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.017675,           0.0051875,                   0,             0.98418,              0.9508,             0.97673,             0.69969,            0.022902,           0.0044029,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.017559,           0.0051769,                   0,             0.97693,             0.95626,             0.97678,             0.69972,            0.022888,            0.004403,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.017775,           0.0052822,                   0,             0.97717,              0.9555,             0.97681,             0.69965,            0.022882,           0.0043993,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017672,           0.0052144,                   0,             0.97628,              0.9565,             0.97683,             0.69999,            0.022881,           0.0043989,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017639,           0.0052727,                   0,             0.97709,             0.95581,             0.97637,             0.70053,            0.022881,           0.0044033,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.017473,           0.0052173,                   0,             0.97672,             0.95553,             0.97614,             0.70022,            0.022881,           0.0044047,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.017267,           0.0051165,                   0,             0.97731,             0.95581,             0.97617,             0.70042,            0.022885,           0.0044083,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.017617,             0.00517,                   0,              0.9768,             0.95672,              0.9762,             0.69998,            0.022895,           0.0044117,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.017577,            0.005146,                   0,              0.9772,             0.95662,             0.97618,             0.70011,            0.022911,           0.0044132,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.017329,           0.0051548,                   0,             0.97809,             0.95606,             0.97656,             0.70045,            0.022916,           0.0044163,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.017219,           0.0051262,                   0,             0.97876,             0.95626,             0.97659,             0.69973,            0.022925,           0.0044228,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01713,            0.005114,                   0,             0.97926,             0.95444,             0.97653,             0.69992,            0.022945,           0.0044292,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.017262,           0.0051528,                   0,             0.97941,             0.95366,             0.97611,             0.69978,            0.022955,           0.0044337,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.017278,           0.0051732,                   0,             0.97986,             0.95315,             0.97625,             0.70005,             0.02296,             0.00444,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.017211,           0.0050934,                   0,              0.9771,             0.95672,             0.97641,             0.69973,            0.022964,           0.0044423,                   0,            0.005215,            0.005215,            0.005215
                 147,             0.01709,           0.0051191,                   0,             0.97691,             0.95672,              0.9768,             0.69973,             0.02297,           0.0044442,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.016966,           0.0050874,                   0,             0.97772,             0.95763,             0.97697,             0.69991,            0.022977,           0.0044469,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.01701,           0.0050935,                   0,             0.97766,             0.95763,             0.97693,             0.69996,            0.022984,            0.004449,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.016977,           0.0050566,                   0,             0.97787,             0.95718,             0.97696,             0.69975,            0.022986,           0.0044486,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.016897,           0.0051287,                   0,              0.9778,             0.95718,             0.97713,              0.6997,            0.022993,           0.0044511,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.016882,           0.0051191,                   0,             0.97674,             0.95718,             0.97677,             0.69963,            0.022998,           0.0044499,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.016798,           0.0050013,                   0,             0.97668,             0.95718,             0.97666,             0.69979,            0.023003,           0.0044523,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.01693,           0.0050438,                   0,             0.97651,             0.95718,             0.97667,             0.69945,            0.023011,           0.0044545,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.016884,           0.0050401,                   0,              0.9764,             0.95672,             0.97654,             0.69948,            0.023015,           0.0044539,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.016692,           0.0050201,                   0,             0.97635,             0.95718,             0.97657,             0.69942,             0.02302,           0.0044538,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.016687,           0.0049433,                   0,             0.97671,             0.95672,             0.97661,             0.69961,            0.023024,            0.004454,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.016718,           0.0050694,                   0,             0.97719,             0.95646,             0.97662,             0.69934,            0.023029,           0.0044551,                   0,            0.004819,            0.004819,            0.004819
                 159,              0.0167,            0.005017,                   0,             0.97764,             0.95601,             0.97667,             0.69964,            0.023036,           0.0044565,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.016467,           0.0048796,                   0,             0.97764,               0.956,             0.97682,             0.69944,            0.023045,           0.0044578,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.016495,           0.0049303,                   0,             0.97765,             0.95639,              0.9768,             0.69859,            0.023057,           0.0044587,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016446,           0.0049558,                   0,             0.97718,             0.95574,             0.97667,             0.69855,            0.023066,            0.004461,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016533,           0.0050133,                   0,             0.97719,             0.95652,              0.9768,             0.69856,            0.023076,           0.0044617,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016275,           0.0049848,                   0,             0.97671,             0.95518,             0.97662,             0.69871,            0.023088,           0.0044616,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.016255,           0.0049166,                   0,             0.98061,             0.95216,             0.97679,             0.69874,            0.023099,           0.0044612,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.016365,           0.0048824,                   0,             0.98074,             0.95216,             0.97678,             0.69883,            0.023105,           0.0044614,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.016202,           0.0048978,                   0,             0.97915,             0.95308,             0.97669,             0.69865,            0.023115,           0.0044632,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016167,            0.004947,                   0,             0.97942,             0.95379,             0.97672,             0.69856,            0.023121,           0.0044641,                   0,            0.004489,            0.004489,            0.004489
